"","X1","X2","trt"
"1",0.57033855744675,-0.361058521426696,"Codium fragile"
"2",0.464306435401084,-0.404052458752854,"Codium fragile"
"3",0.34417169751384,-0.454993294116322,"Codium fragile"
"4",0.591231818310218,-0.337271748318817,"Codium fragile"
"5",0.591231818310218,-0.337271748318817,"Codium fragile"
"6",-0.0939800707933364,-0.309057894756373,"Gracilaria tikvahiae"
"7",-0.0444339560172616,-0.320428253160491,"Gracilaria tikvahiae"
"8",0.0302369681686634,-0.380860994000381,"Gracilaria tikvahiae"
"9",-0.116277339192149,-0.230781470997717,"Gracilaria tikvahiae"
"10",-0.121866402487369,-0.0533990676229043,"Gracilaria tikvahiae"
"11",-0.0437737533153878,0.0714663042532567,"Gracilaria vermiculophylla"
"12",0.0228196828005366,0.170327601380203,"Gracilaria vermiculophylla"
"13",-0.0650265995679062,-0.0579920893800806,"Gracilaria vermiculophylla"
"14",-0.0590129434621295,-0.207530081674389,"Gracilaria vermiculophylla"
"15",-0.0945003873313151,-0.229908847729692,"Gracilaria vermiculophylla"
"16",0.0557306539276183,0.341910131307582,"Gymnogongrus griffithsiae"
"17",-0.0841589500957604,0.203500464056805,"Gymnogongrus griffithsiae"
"18",0.0175750649171057,0.3547650349002,"Gymnogongrus griffithsiae"
"19",-0.0147196154654306,0.386016610560713,"Gymnogongrus griffithsiae"
"20",-0.142318490232103,0.247090973743735,"Gymnogongrus griffithsiae"
"21",-0.155615438847701,0.146271288501215,"3 species native"
"22",-0.237459679533988,0.195658653041472,"3 species native"
"23",-0.12391514777564,0.0280754867052918,"3 species native"
"24",-0.0222156993281968,0.211717987196383,"3 species native"
"25",-0.195265969821531,-0.0916309933543339,"3 species native"
"26",-0.0527644702867877,0.233991012821196,"3 species nonnative"
"27",-0.193362567042471,0.162474895890827,"3 species nonnative"
"28",0.0254053530106375,0.238117562103304,"3 species nonnative"
"29",-0.156136560431174,0.119871865569449,"3 species nonnative"
"30",-0.0436445335385543,0.320943620752627,"3 species nonnative"
"31",-0.101116926195596,0.114314558251425,"4 species"
"32",-0.268168477846508,-0.188212499810517,"4 species"
"33",-0.0455666471680549,0.236408821344636,"4 species"
"34",-0.0237092385763169,0.186220394227552,"4 species"
"35",-0.214038185454003,-0.0046933031874916,"4 species"
